Country,Count_per_100K
Egypt,0
"Holy See",0
Yemen,3
Sudan,6
Guinea,7
Turkmenistan,14
Haiti,14
Nepal,17
Bangladesh,18
"Sao Tome and Principe",22
Timor-Leste,37
Senegal,43
Uzbekistan,45
Mozambique,46
Benin,56
Nigeria,65
Qatar,87
"United Republic of Tanzania",95
"Côte d’Ivoire",108
Madagascar,110
